680.0 KB	564507e8e000-564507f38000 r--p 00000000 08:00 290860                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/target/release/controller
  4.0 KB	779294cf1000-779294cf2000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	779294cf2000-779294e1a000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	779294e1a000-779294f94000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	779294f94000-779314f94000 ---p 00000000 00:00 0 
  1.1 MB	779314f94000-7793150b4000 rw-p 00000000 00:00 0 
  6.0 GB	7793150b4000-779494f94000 ---p 00000000 00:00 0 
  4.0 KB	779494f94000-779494f95000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	779494f95000-7794950bd000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	7794950bd000-779495237000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	779495237000-779515237000 ---p 00000000 00:00 0 
  1.1 MB	779515237000-779515357000 rw-p 00000000 00:00 0 
  6.0 GB	779515357000-779695237000 ---p 00000000 00:00 0 
  4.0 KB	779695237000-779695238000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	779695238000-779695360000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	779695360000-7796954da000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	7796954da000-7797154da000 ---p 00000000 00:00 0 
  1.1 MB	7797154da000-7797155fa000 rw-p 00000000 00:00 0 
  6.0 GB	7797155fa000-7798954da000 ---p 00000000 00:00 0 
  4.0 KB	7798954da000-7798954db000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	7798954db000-779895603000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	779895603000-77989577d000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	77989577d000-77991577d000 ---p 00000000 00:00 0 
  1.1 MB	77991577d000-77991589d000 rw-p 00000000 00:00 0 
  6.0 GB	77991589d000-779a9577d000 ---p 00000000 00:00 0 
  4.0 KB	779a9577d000-779a9577e000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	779a9577e000-779a958a6000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	779a958a6000-779a95a20000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	779a95a20000-779b15a20000 ---p 00000000 00:00 0 
  1.1 MB	779b15a20000-779b15b40000 rw-p 00000000 00:00 0 
  6.0 GB	779b15b40000-779c95a20000 ---p 00000000 00:00 0 
  4.0 KB	779c95a20000-779c95a21000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	779c95a21000-779c95b49000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	779c95b49000-779c95cc3000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	779c95cc3000-779d15cc3000 ---p 00000000 00:00 0 
  1.1 MB	779d15cc3000-779d15de3000 rw-p 00000000 00:00 0 
  6.0 GB	779d15de3000-779e95cc3000 ---p 00000000 00:00 0 
  4.0 KB	779e95cc3000-779e95cc4000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	779e95cc4000-779e95dec000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	779e95dec000-779e95f66000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	779e95f66000-779f15f66000 ---p 00000000 00:00 0 
  1.1 MB	779f15f66000-779f16086000 rw-p 00000000 00:00 0 
  6.0 GB	779f16086000-77a095f66000 ---p 00000000 00:00 0 
  4.0 KB	77a095f66000-77a095f67000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	77a095f67000-77a09608f000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
